Inst,citingDOI,CR,citedDOI,title,journal_book,date,issn1,issn1Type,issn2,issn2Type,isbn
CUBoulder,10.1080/19443994.2014.943064,"EMDAT, 2009, DIS TRENDS TRENDS RE",nan,nan,DIS TRENDS TRENDS RE,nan,nan,nan,nan,nan,nan
CUBoulder,10.1007/s11069-016-2489-4,"EMDAT, 2009, INT DIS DAT NAT DIS",nan,nan,INT DIS DAT NAT DIS,nan,nan,nan,nan,nan,nan
CUBoulder,10.1038/NGEO1874,"Emmert J. T., 2011, J GEOPHYS RES, V116",nan,nan,Journal of Geophysical Research,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2013JG002588,"EMMETT BA, 1991, BIOGEOCHEMISTRY, V15, P47",nan,nan,BIOGEOCHEMISTRY,nan,nan,nan,nan,nan,nan
Berkeley,nan,"Encinas A, 2006, REV GEOL CHILE, V33, P221",nan,nan,REV GEOL CHILE,nan,nan,nan,nan,nan,nan
Berkeley,nan,"ENCINAS A., 2006, THESIS U CHILE SANTI",nan,nan,Thesis,nan,nan,nan,nan,nan,nan
Berkeley,10.1111/j.1365-2699.2011.02645.x,"ENDLER JA, 1977, GEOGRAPHIC VARIATION",nan,nan,GEOGRAPHIC VARIATION,nan,nan,nan,nan,nan,nan
CUBoulder,10.4401/ag-5462,"ENEL-DCO, 1984, RAPP LOC IMP N UNPUB",nan,nan,RAPP LOC IMP N UNPUB,nan,nan,nan,nan,nan,nan
Berkeley,10.1029/2018JD029419,"Energy Information Administration, 2017, STAT EN DAT SYST SED",nan,nan,STAT EN DAT SYST SED,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.geomorph.2013.02.016,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
CUBoulder,10.1093/gji/ggs109,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
CUBoulder,10.1029/2010JB007443,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
Berkeley,10.1029/2009JB007204,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
Berkeley,10.1002/jgrb.50391,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
UCLA,10.1029/2012JB009540,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
Houston,10.1007/s00410-017-1418-1,"Engdahl ER, 1998, B SEISMOL SOC AM, V88, P722",nan,nan,Bulletin of the Seismological Society of America,nan,nan,nan,nan,nan,nan
Berkeley,nan,"ENGEL S, 1983, J AQUAT PLANT MANAGE, V21, P73",nan,nan,J AQUAT PLANT MANAGE,nan,nan,nan,nan,nan,nan
CUBoulder,nan,"Engelgau MM, 2011, DIR DEV, P65",nan,nan,DIR DEV,nan,nan,nan,nan,nan,nan
CUBoulder,10.1017/jog.2018.78,"Engelhardt H, 1998, J GLACIOL, V44, P223",nan,nan,Journal of Glaciology,nan,nan,nan,nan,nan,nan
UCLA,10.1029/2009JD012530,"ENGELMARK H, 1993, NORD HYDROL, V24, P95",nan,nan,NORD HYDROL,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.coldregions.2014.02.005,"Engl H., 1996, REGULARIZATION INVER",nan,nan,REGULARIZATION INVER,nan,nan,nan,nan,nan,nan
CUBoulder,10.3390/rs9040379,"English D., 2009, OCEANS 2009 MTS IEEE, P1",nan,nan,OCEANS 2009 MTS IEEE,nan,nan,nan,nan,nan,nan
UCLA,10.3390/w10020117,"ENGLISH PW, 1968, P AM PHILOS SOC, V112, P170",nan,nan,P AM PHILOS SOC,nan,nan,nan,nan,nan,nan
Berkeley,nan,"Enlow D. H., 1956, Texas Journal of Science, V8, P405",nan,nan,Texas Journal of Science,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s11269-015-0952-8,"Enriquez-Coyro C, 1976, TRATADO ENTRE MEXICO",nan,nan,TRATADO ENTRE MEXICO,nan,nan,nan,nan,nan,nan
Berkeley,10.1088/1748-9326/aa75d1,"Ensink J, 2002, 64 INT WAT MAN I",nan,nan,64 INT WAT MAN I,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/bg-9-457-2012,"Enting I.G., 2002, CAM ATM SP",nan,nan,CAM ATM SP,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/bg-10-7179-2013,"Environment Canada, 2013, WAT LEV STREAMFL STA",nan,nan,WAT LEV STREAMFL STA,nan,nan,nan,nan,nan,nan
Berkeley,10.1088/1748-9326/9/10/104020,"Environmental Leader, 2013, CAL CARB PRIC SURP E",nan,nan,CAL CARB PRIC SURP E,nan,nan,nan,nan,nan,nan
Berkeley,10.1029/2018JD029419,"Environmental Protection Agency, 2000, NAT AIR POLL EM TREN",nan,nan,NAT AIR POLL EM TREN,nan,nan,nan,nan,nan,nan
UCLA,10.1002/hyp.10784,"Environmental Protection Agency, 2003, 910B03002 EPA, P49",nan,nan,910B03002 EPA,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2017JB014415,"Environmental Protection Agency, 2015, 600R14091 EPA, P1",nan,nan,600R14091 EPA,nan,nan,nan,nan,nan,nan
CUBoulder,10.1007/s11270-010-0623-6,"EPA, 1999, UND VAR PART COEFF K, VI",nan,nan,UND VAR PART COEFF K,nan,nan,nan,nan,nan,nan
CUBoulder,10.2166/wst.2016.467,"EPA, 2002, ONS WAST TREAT MAN",nan,nan,ONS WAST TREAT MAN,nan,nan,nan,nan,nan,nan
UCLA,10.1088/1748-9326/8/2/024013,"EPA, 2009, EPA420D09001 ENV PRO",nan,nan,EPA420D09001 ENV PRO,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/acp-16-13561-2016,"EPA, 2013, INT SCI ASS OZ REL P",nan,nan,INT SCI ASS OZ REL P,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/acp-15-7049-2015,"EPA, 2014, INV US GREENH GAS EM",nan,nan,INV US GREENH GAS EM,nan,nan,nan,nan,nan,nan
UCLA,10.5194/essd-10-653-2018,"EPA, 2015, FLIGHT 2015 GREENH G",nan,nan,FLIGHT 2015 GREENH G,nan,nan,nan,nan,nan,nan
CUBoulder,10.1051/swsc/2017037,"Eparvier FG, 2009, SPIE OPTICAL ENG APP, p[743, 804]",nan,nan,SPIE OPTICAL ENG APP,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/bg-15-6049-2018,"EPPLEY RW, 1972, FISH B-NOAA, V70, P1063",nan,nan,FISH B-NOAA,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.pocean.2011.02.001,"EPPLEY RW, 1972, FISH B-NOAA, V70, P1063",nan,nan,FISH B-NOAA,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/qj.2348,"Epstein E.S., 1962, J APPL METEOROL, V1, P169",nan,nan,J APPL METEOROL,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.epsl.2011.02.030,"EPSTEIN S, 1977, SCIENCE, V198, P1214",nan,nan,SCIENCE,nan,nan,nan,nan,nan,nan
UCLA,10.2138/am-2016-5582,"Epstein S., 1973, P LUNAR PLANET SCI C, V2, P1559",nan,nan,P LUNAR PLANET SCI C,nan,nan,nan,nan,nan,nan
Berkeley,10.3390/rs3112321,"ERDAS Inc, 2009, AUT FEAT EXTR IMAGIN",nan,nan,AUT FEAT EXTR IMAGIN,nan,nan,nan,nan,nan,nan
Houston,10.1111/1365-2478.12577,"Erdelyi A., 1954, INTEGRAL TRANSFORMS, V6, P14",nan,nan,INTEGRAL TRANSFORMS,nan,nan,nan,nan,nan,nan
Berkeley,10.2138/am-2017-5848,"Erhart H., 2013, MET SCI, V15, P401",nan,nan,MET SCI,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.advwatres.2017.11.008,"Erhel J., 2009, PARALLEL COMPUT, P39, DOI DOI 10.1007/978-3-540-92744-0_",10.1007/978-3-540-92744-0_,nan,PARALLEL COMPUT,nan,nan,nan,nan,nan,nan
Berkeley,nan,"Erickson GM, 2000, ZOOL J LINN SOC-LOND, V130, P551, DOI 10.1006/zjls.2000.0243",10.1006/zjls.2000.0243,nan,ZOOL J LINN SOC-LOND,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/hyp.7630,"ERICKSON TA, 2004, THESIS U COLORADO BO",nan,nan,Thesis,nan,nan,nan,nan,nan,nan
CUBoulder,10.1111/j.1502-3931.2010.00257.x,"Erlstrom M., 1992, SVERIGES GEOLOGISKA, P1",nan,nan,SVERIGES GEOLOGISKA,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.coldregions.2014.02.005,"ermak V., 1971, TECTONOPHYSICS, V11, P287",nan,nan,TECTONOPHYSICS,nan,nan,nan,nan,nan,nan
UCLA,10.5194/acp-17-1417-2017,"Errera Q., 2015, SPARC NEWSLETTER, V44, P31",nan,nan,SPARC NEWSLETTER,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.epsl.2018.02.018,"Erskine J., 2016, GEOCHEM GEOPHYS GEOS, V17",nan,nan,GEOCHEM GEOPHYS GEOS,nan,nan,nan,nan,nan,nan
CUBoulder,10.1130/L460.1,"Erslev E., 1989, INT BASEMENT TECTONI, V8, P313",nan,nan,INT BASEMENT TECTONI,nan,nan,nan,nan,nan,nan
UCLA,10.1002/qj.2937,"Ertel H., 1942, METEOROL Z, V59, P250",nan,nan,METEOROL Z,nan,nan,nan,nan,nan,nan
Berkeley,10.14358/PERS.83.10.779,"Ertter Barbara, 2000, Madrono, V47, P237",nan,nan,Madrono,nan,nan,nan,nan,nan,nan
UCLA,10.5194/acp-17-1417-2017,"Erying V., 2010, WCRP30",nan,nan,WCRP30,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.pocean.2011.02.001,"ESCHBACH HC, 1995, J MARINE BIOTECHNOLO, V3, P115",nan,nan,J MARINE BIOTECHNOLO,nan,nan,nan,nan,nan,nan
Berkeley,10.1029/2009JB006786,"ESHELBY JD, 1957, P ROY SOC LOND A MAT, V241, P396",nan,nan,P ROY SOC LOND A MAT,nan,nan,nan,nan,nan,nan
Berkeley,nan,"Esquibel C.R., 2013, 1969 ETHNIC STUDIES, V2, P1",nan,nan,1969 ETHNIC STUDIES,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.4437,"ESRI, 2011, ARCGIS DESKT REL 10",nan,nan,ARCGIS DESKT REL 10,nan,nan,nan,nan,nan,nan
CUBoulder,10.1061/(ASCE)WR.1943-5452.0000847,"ESRI, ARCGIS",nan,nan,,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/hess-18-4261-2014,"Essery R, 2001, IAHS-AISH P, P343",nan,nan,IAHS-AISH P,nan,nan,nan,nan,nan,nan
CUBoulder,10.1080/00288306.2018.1523199,"ESTCOURT I. N., 1967, N Z J MAR FRESHWATER RES, V1, P352",nan,nan,N Z J MAR FRESHWATER RES,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.marpetgeo.2014.07.024,"Esteban L., 2008, P 6 INT C GAS HYDR V, P9",nan,nan,P 6 INT C GAS HYDR V,nan,nan,nan,nan,nan,nan
Houston,10.1016/j.sedgeo.2017.12.024,"Esteban M., 1983, AAPG BULL, V33, P1",nan,nan,AAPG Bulletin,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.soildyn.2017.07.009,"Estekanchi HE, 2004, SCI IRAN, V14, P361",nan,nan,SCI IRAN,nan,nan,nan,nan,nan,nan
CUBoulder,nan,"Estilow T. W., 2013, SNOW COVER EXTENT NO",nan,nan,SNOW COVER EXTENT NO,nan,nan,nan,nan,nan,nan
CUBoulder,nan,"Etling D., 1993, WAVES TURBULENCE STA, P1",nan,nan,WAVES TURBULENCE STA,nan,nan,nan,nan,nan,nan
Berkeley,10.2138/am-2017-5848,"Etschmann B, 2004, AM MINERAL, V89, P39",nan,nan,American Mineralogist,nan,nan,nan,nan,nan,nan
UCLA,10.2138/rmg.2013.76.5,"EUGSTER HP, 1987, REV MINERAL, V17, P367",nan,nan,REV MINERAL,nan,nan,nan,nan,nan,nan
CUBoulder,10.1089/ast.2013.1003,"Europa Study Team, 2012, D71990 JPL CALTECH E",nan,nan,D71990 JPL CALTECH E,nan,nan,nan,nan,nan,nan
UCLA,10.5194/essd-10-653-2018,"European Commission Joint Research Centre and PBL Netherlands Environmental Assessment Agency, 2010, EM DAT GLOB ATM RES",nan,nan,EM DAT GLOB ATM RES,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.soildyn.2017.05.025,"European Committee for Standardization (ECS), 2005, 199812004 ECS BS EN",nan,nan,199812004 ECS BS EN,nan,nan,nan,nan,nan,nan
CUBoulder,nan,"European Space Agency, 2012, ESA SP",nan,nan,ESA SP,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/amt-5-1869-2012,"European Union, 2008, OFF J EUR UNION L, V152, P1",nan,nan,OFF J EUR UNION L,nan,nan,nan,nan,nan,nan
Houston,10.1016/j.sedgeo.2017.12.024,"Evans J.P., 2005, 4 ANN C CARB CAPT SE",nan,nan,4 ANN C CARB CAPT SE,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.coldregions.2014.02.005,"Evans L. C., 1998, PARTIAL DIFFERENTIAL, V19",nan,nan,PARTIAL DIFFERENTIAL,nan,nan,nan,nan,nan,nan
CUBoulder,nan,"Evans S., 1963, J GLACIOL, V5, P773",nan,nan,Journal of Glaciology,nan,nan,nan,nan,nan,nan
UCLA,10.5194/acp-17-1417-2017,"Evensen G, 2009, DATA ASSIMILATION: THE ENSEMBLE KALMAN FILTER, SECOND EDITION, P1, DOI 10.1007/978-3-642-03711-5",10.1007/978-3-642-03711-5,Data Assimilation,DATA ASSIMILATION: THE ENSEMBLE KALMAN FILTER,2009,nan,nan,nan,nan,9.78364E+12
Berkeley,10.1111/jbi.12488,"Everett J, 1992, GNAPHALIUM, V3, P206",nan,nan,GNAPHALIUM,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.atmosenv.2011.04.064,"Everitt B.S., 1993, CLUSTER ANAL",nan,nan,CLUSTER ANAL,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.atmosenv.2011.04.064,"EVERITT BS, 2001, CLUSTER ANAL, P229",nan,nan,CLUSTER ANAL,nan,nan,nan,nan,nan,nan
Berkeley,10.1007/s12542-019-00485-8,"EWEL KC, 1984, CYPRESS SWAMPS",nan,nan,CYPRESS SWAMPS,nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.epsl.2012.06.054,"Ewing R. C., 1982, Scientific Basis for Nuclear Waste Management V. Proceedings of the Materials Research Society Fifth International Symposium on the Scientific Basis for Nuclear Waste, P389",nan,nan,Scientific Basis for Nuclear Waste Management V. Proceedings of the Materials Research Society Fifth International Symposium on the Scientific Basis for Nuclear Waste,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gca.2017.01.049,"Ewing RC, 2000, REV MINERAL GEOCHEM, V39, P319",nan,nan,REV MINERAL GEOCHEM,nan,nan,nan,nan,nan,nan
Berkeley,10.1111/j.1365-2699.2011.02645.x,"EXCOFFIER L, 1992, GENETICS, V131, P479",nan,nan,GENETICS,nan,nan,nan,nan,nan,nan
Houston,10.14358/PERS.84.7.425,"Exelis Visual Information Solutions, 2017, ENV US GUID",nan,nan,ENV US GUID,nan,nan,nan,nan,nan,nan
Houston,10.1007/s00410-017-1418-1,"Expedition Scientific Party, 2005, IODP PREL REP",nan,nan,IODP PREL REP,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2015MS000427,"EYRING V, 2008, [No title captured], V30, P20",nan,nan,[No title captured],nan,nan,nan,nan,nan,nan
UCLA,10.5194/acp-19-12917-2019,"Eyring V., 2013, SPARC NEWSLETTER, V40, P48",nan,nan,SPARC NEWSLETTER,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/acp-18-1379-2018,"Eyring V., WCRP302010 SPARC",nan,nan,,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/acp-17-2103-2017,"Eyth A., 2014, PREPARATION EMISSION",nan,nan,PREPARATION EMISSION,nan,nan,nan,nan,nan,nan
UCLA,10.1111/arcm.12421,"F_oldvari M., 2011, HDB THERMOGRAVIMETRI",nan,nan,HDB THERMOGRAVIMETRI,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.soildyn.2017.05.025,"F.E.M. Agency, 2009, P695 FEMA",nan,nan,P695 FEMA,nan,nan,nan,nan,nan,nan
Berkeley,10.1029/2009WR007838,"FABER BA, 2000, THESIS CORNELL U ITH",nan,nan,Thesis,nan,nan,nan,nan,nan,nan
Houston,10.1016/j.orggeochem.2018.07.007,"FABER E, 1987, ERDOL ERDGAS KOHLE, V103, P210",nan,nan,ERDOL ERDGAS KOHLE,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.jas.2012.01.017,"Fagundes N., 2008, AM J HUM GENET, V82, P146",nan,nan,AM J HUM GENET,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/acp-13-4393-2013,"Fahey D. W., 2009, COMMUNICATION",nan,nan,COMMUNICATION,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/amt-6-1461-2013,"Fahey D. W., 2009, SUMMARY AQUAVIT WATE",nan,nan,SUMMARY AQUAVIT WATE,nan,nan,nan,nan,nan,nan
Berkeley,10.1080/13658816.2014.989856,"Fahrig L, 2005, ISSUES PERSPECTIVES",nan,nan,ISSUES PERSPECTIVES,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.landurbplan.2015.11.009,"Fahrig L, 2009, ECOL SOC, V14",nan,nan,ECOL SOC,nan,nan,nan,nan,nan,nan
CUBoulder,10.1029/2010JC006884,"FAIRALL C, 2010, P OCEANOBS 09 SUST O, V2",nan,nan,P OCEANOBS 09 SUST O,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/cp-10-1605-2014,"Fairchild I.J., 2012, SPELEOTHEM SCI PROCE",nan,nan,SPELEOTHEM SCI PROCE,nan,nan,nan,nan,nan,nan
Berkeley,10.1109/JSTARS.2015.2483483,"Fairfield J, 1991, J WATER RESOUR RES, V27, P709",nan,nan,J WATER RESOUR RES,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/acp-11-11913-2011,"FAIRLIE TDA, 1990, Q J ROY METEOR SOC, V116, P287, DOI 10.1256/smsqj.49203",10.1256/smsqj.49203,nan,Quarterly Journal of the Royal Meteorological Society,nan,nan,nan,nan,nan,nan
Berkeley,10.1111/jbi.12488,"Faith D. P, 1994, PHYLOGENETIC DIVERSI, P251",nan,nan,PHYLOGENETIC DIVERSI,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.palaeo.2015.05.010,"Falcon-Lang Howard J., 2015, Bulletin of the New Mexico Museum of Natural History and Science, P115",nan,nan,Bulletin of the New Mexico Museum of Natural History and Science,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.pocean.2014.08.012,"Falk-Petersen S, 2000, CAN J FISH AQUAT SCI, V57, P178, DOI 10.1139/cjfas-57-S3-178",10.1139/cjfas-57-S3-178,nan,CAN J FISH AQUAT SCI,nan,nan,nan,nan,nan,nan
Berkeley,10.3390/w9020083,"Falkenmark M., 2004, BALANCING WATER HUMA",nan,nan,BALANCING WATER HUMA,nan,nan,nan,nan,nan,nan
CUBoulder,10.4401/ag-5462,"FALLETTI P, 1995, [No title captured], V14, P1",nan,nan,[No title captured],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2017GL072811,"FALTHAMMAR CG, 1966, J GEOPHYS RES, V71, P1487",nan,nan,Journal of Geophysical Research,nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"FAN JC, 2004, ACTA SEISMOLOGICA SI, V17, P43",nan,nan,ACTA SEISMOLOGICA SI,nan,nan,nan,nan,nan,nan
UCLA,10.6038/j.issn.0001-5733.2012.12.003,"Fan JC, 2004, ACTA SEISMOLOGICA SI, V26, P42",nan,nan,ACTA SEISMOLOGICA SI,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2013JG002588,"Fan JH, 2012, AFR J MICROBIOL RES, V6, P562, DOI 10.5897/AJMR11.1218",10.5897/AJMR11.1218,nan,AFR J MICROBIOL RES,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.jastp.2016.06.004,"Fan Y.H., 2015, SOLAR PROMINENCES, V415, P297",nan,nan,SOLAR PROMINENCES,nan,nan,nan,nan,nan,nan
Berkeley,10.2475/10.2014.01,"Fanale F.P., 1962, ECON GEOL, V57, P735",nan,nan,ECON GEOL,nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.advwatres.2014.07.012,"Fang H, 2009, ASPRS 2009 ANN C BAL",nan,nan,ASPRS 2009 ANN C BAL,nan,nan,nan,nan,nan,nan
Berkeley,10.1007/s11104-018-3657-y,"Fang J., 2005, GEOPHYS RES LETT, V32",nan,nan,Geophysical Research Letters,nan,nan,nan,nan,nan,nan
UCLA,10.1002/2017GL076421,"Fang L. H., 2018, CHINESE SCI BULL, V63, P1",nan,nan,CHINESE SCI BULL,nan,nan,nan,nan,nan,nan
UCLA,10.1002/joc.4729,"FANG M, 2005, J OCEAN U CHIN, V4, P189",nan,nan,J OCEAN U CHIN,nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.tecto.2009.06.002,"Fang XM, 2003, EARTH PLANET SC LETT, V210, P545, DOI 10.1016/S0012-821X(03)-00142-0",10.1016/S0012-821X(03)-00142-0,nan,Earth and Planteary Science Letters,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3475,"Fang Z.-F., 2004, WORLD SCI SERIES MET, P131",nan,nan,WORLD SCI SERIES MET,nan,nan,nan,nan,nan,nan
CUBoulder,10.1111/j.1502-3931.2010.00257.x,"Fange A, 1979, FISH PHYSIOL, P161",nan,nan,FISH PHYSIOL,nan,nan,nan,nan,nan,nan
CUBoulder,10.1007/s10980-018-0623-2,"Fanning D, 1990, UPPER WOG WOG RIVER",nan,nan,UPPER WOG WOG RIVER,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/acp-17-2103-2017,"Fantechi G, 1998, INT J CHEM KINET, V30, P589, DOI 10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.3.CO;2-5",10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.3.CO;2-5,nan,INT J CHEM KINET,nan,nan,nan,nan,nan,nan
CUBoulder,10.4401/ag-5462,"Fantoni R, 2004, BOLL SOC GEOL ITAL, V123, P463",nan,nan,BOLL SOC GEOL ITAL,nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.advwatres.2014.07.012,"FAO, 2005, KAR FREK FAO WAT REP",nan,nan,KAR FREK FAO WAT REP,nan,nan,nan,nan,nan,nan
Berkeley,10.1002/ldr.2250,"FAO, 2010, 163 FAO",nan,nan,163 FAO,nan,nan,nan,nan,nan,nan
Berkeley,10.1007/s10653-015-9701-4,"FAO, 2014, FAO YB FISH AQ STAT",nan,nan,FAO YB FISH AQ STAT,nan,nan,nan,nan,nan,nan
Berkeley,10.1088/1748-9326/aa75d1,"FAO, 2015, AQUASTAT DAT",nan,nan,AQUASTAT DAT,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.jag.2019.01.007,"FAO, 2015, GLOB FOR RES ASS 201, V352, P9",nan,nan,GLOB FOR RES ASS 201,nan,nan,nan,nan,nan,nan
Berkeley,10.2138/am-2015-5095,"FARKAS L, 1988, NEUES JB MINER MONAT, P539",nan,nan,NEUES JB MINER MONAT,nan,nan,nan,nan,nan,nan
Berkeley,10.1002/2017GL075189,"FARLEY DT, 1971, METHODS EXPERIMENTAL, V9, P139",nan,nan,METHODS EXPERIMENTAL,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gca.2017.01.049,"Farley K. A., 2010, GEOCHEM GEOPHY GEOSY, V11, P18",nan,nan,GEOCHEM GEOPHY GEOSY,nan,nan,nan,nan,nan,nan
CUBoulder,10.1029/2011JD016032,"FARMER CB, 1989, [No title captured], V1224",nan,nan,[No title captured],nan,nan,nan,nan,nan,nan
CUBoulder,10.2113/econgeo.109.5.1179,"Farmer V.C., 1974, INFRARED SPECTRA MIN",nan,nan,INFRARED SPECTRA MIN,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2014WR015561,"Farnes P. E., 1982, P W SNOW C, V30, P437",nan,nan,P W SNOW C,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/hess-16-1401-2012,"Farnes P. E., 1996, The ecological implications of fire in Greater Yellowstone. Proceedings of the Second Biennial Conference on the Greater Yellowstone Ecosystem, Yellowstone National Park, Wyoming, USA, 19-21 September, 1993., P39",nan,nan,The ecological implications of fire in Greater Yellowstone. Proceedings of the Second Biennial Conference on the Greater Yellowstone Ecosystem,nan,nan,nan,nan,nan,nan
Berkeley,10.5194/bg-9-3083-2012,"Farquhar G. D., 1993, Stable isotopes and plant carbon-water relations., P47",nan,nan,Stable isotopes and plant carbon-water relations.,nan,nan,nan,nan,nan,nan
Houston,10.1007/s00603-018-1536-8,"Farquhar RA, 1994, EUR PETR C SOC PETR",nan,nan,EUR PETR C SOC PETR,nan,nan,nan,nan,nan,nan
UCLA,10.1007/s10040-015-1318-2,"FARQUHARSON C, 2000, BACKGROUND PROGRAM E",nan,nan,BACKGROUND PROGRAM E,nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.jas.2017.03.003,"Farrington O. C., 1902, FIELD COLUMBIAN MUSE, V64, P310",nan,nan,FIELD COLUMBIAN MUSE,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.advwatres.2017.11.008,"Farvolden R. N., 1988, REGION 12 PERCAMBRIA, P101",nan,nan,REGION 12 PERCAMBRIA,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.advwatres.2017.11.008,"Farvolden R., 1988, REGION 12 PRECAMBRIA",nan,nan,REGION 12 PRECAMBRIA,nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/2016WR019067,"Fassnacht S. R., 2004, P 61 ANN E SNOW C PO",nan,nan,P 61 ANN E SNOW C PO,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.atmosenv.2015.12.031,"Fast J, 2009, ATMOS CHEM PHYS, V9, P6191",nan,nan,Atmospheric Chemistry and Physics,nan,nan,nan,nan,nan,nan
CUBoulder,10.5194/cp-10-733-2014,"Fasullo J, 2002, J CLIMATE, V15, P3082, DOI 10.1175/1520-0442(2002)015&lt;3082:HSRTAS&gt;2.0.CO;2",10.1175/1520-0442(2002)015&lt;3082:HSRTAS&gt;2.0.CO;2,nan,Journal of Climate,nan,nan,nan,nan,nan,nan
Berkeley,10.1016/j.soildyn.2017.05.025,"Fathali S, 2012, P SMIP12 SEM UT STRO",nan,nan,P SMIP12 SEM UT STRO,nan,nan,nan,nan,nan,nan
Berkeley,10.3390/rs9070702,"Fatoyinbo T. E, 2008, J GEOPHYS RES-BIOGEO, V113",nan,nan,J GEOPHYS RES-BIOGEO,nan,nan,nan,nan,nan,nan
UCLA,10.5741/GEMS.51.3.222,"Faure F., 2007, CONTRIB MINERAL PETR, V153, P369",nan,nan,CONTRIB MINERAL PETR,nan,nan,nan,nan,nan,nan
UCLA,10.1016/j.epsl.2010.09.023,"FAURE G, 1986, PRINCIPLES ISOTOPE G",nan,nan,PRINCIPLES ISOTOPE G,nan,nan,nan,nan,nan,nan
